,authors,English Title,Japanese Title,Link,Year
59,"吉田耕作 (YOSIDA,KOSAKU )",Analysis by the Methods of Functional Analysis ,函数解析的方法による解析学研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/59.html,1968
60,"塩谷実 (SHIOTANI,MINORU )",Study of Statistical Multivariate Analysis 2 ,統計的多変量解析の研究報告集２ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/60.html,1968
61,"竹之内脩 (TAKENOUCHI,OSAMU )",Proceeding of the Second Conference on the Function Algebra ,Ｆｕｎｃｔｉｏｎ　Ａｌｇｅｂｒａについての共同研究集会（第２回） 報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/61.html,1968
62,"占部実 (URABE,MINORU )",Approximate Solutions of Functional Equations ,関数方程式の近似解法研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/62.html,1968
63,"木村俊房 (KIMURA,TOSHIFUSA )",On the Asymptotic Behaviors of the Solutions of an Ordinary Differential Equation ,常微分方程式における解の漸近性について ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/63.html,1969
64,"佐々木重夫 (SASAKI,SHIGEO )",Differential Geometry ,微分幾何学研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/64.html,1969
65,"白田平 (SHIROTA,TAIRA )",On the Mixed Problems of Hyperbolic Differential Equations ,双曲型方程式の混合問題について ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/65.html,1969
66,"TAKASU,SATORU ",Study of an Algorithmic Language--The Description and Compiling--ALGOL N ,算法言語の設計─記述─処理の研究─ＡＬＧＯＬ　Ｎ− ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/66.html,1969
67,"北川敏男 (KITAGAWA,TOSHIO )",Proceeding of the Conference on Dynamic Programming ,動的計画法の研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/67.html,1969
68,"小平邦彦 (KODAIRA,KUNIHIKO )",Compact Complex Analytic Manifold ,コンパクト複素解析多様体研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/68.html,1969
69,"山口昌哉 (YAMAGUTI,MASAYA )",Evolution Equation and Its Numerical Analysis ,発展方程式とその数値解析研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/69.html,1969
70,"上野季夫 (UENO,SUEO )",Proceeding of the Conference on the Equation of Radiation Gas Dynamics ,輻射ガス力学の運動方程式の研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/70.html,1969
71,"占部実 (URABE,MINORU )",Proceeding of the Second Conference of Approximate Solutions of Functional Equations ,関数方程式の近似解法第２次研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/71.html,1969
72,"占部実 (URABE,MINORU )",Fundamental Theories of Numerical Analysis ,数値解析の基礎理論研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/72.html,1969
73,"一松信 (HITOTSUMATSU,SHIN )",Fundamental Theories on Functional Approximation ,函数近似の基礎理論研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/73.html,1969
74,"本尾実 (MOTOO,MINORU )",Proceeding of the Conference on Stochastic Processes-On Martingale ,確率過程研究会報告集─マルチンゲールを中心として─ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/74.html,1969
